Título;Ubicación;Valor Alquiler;Expensas;Metros Cuadrados;Ambientes;Dormitorios;Baños;Cocheras
Vidt al 1700;Palermo, Capital Federal;$ 400.000;$ 130.000 Expensas;33;1;0;1;0
Coronel Diaz  al 2100;Barrio Norte, Capital Federal;USD 800;$ 267.283 Expensas;71;3;2;1;0
Paroissien al 1700;Núñez, Capital Federal;$ 385.000;$ 130.000 Expensas;38;1;0;1;0
Rodriguez Peña al 2000;Recoleta, Capital Federal;$ 1.100.000;$ 283.000 Expensas;100;3;2;1;1
Jerónimo Salguero al 2800;Palermo Chico, Palermo;USD 3.000;$ 988.000 Expensas;209;6;4;3;1
Donado 1755;Belgrano, Capital Federal;$ 400.000;$ 76.000 Expensas;36;1;0;1;0
Posadas  al 1300;Recoleta, Capital Federal;USD 500;$ 150.000 Expensas;31;1;1;1;0
Anasagasti al 2000;Palermo, Capital Federal;USD 1.800;$ 446.880 Expensas;133;4;3;2;0
Laprida e/ Charcas y Avenida Santa Fe;Recoleta, Capital Federal;USD 1.000;$ 250.000 Expensas;77;3;2;1;0
Departamento en Alquiler en Puerto Madero;Puerto Madero, Capital Federal;USD 1.500;$ 450.000 Expensas;84;3;2;2;0
OLAZABAL, AV. 3000. Entre Balbin ricardo;Belgrano R, Belgrano;$ 600.000;$ 190.000 Expensas;45;2;1;1;0
Encarnación Ezcurra al 300;Puerto Madero, Capital Federal;USD 800;$ 170.000 Expensas;41;1;1;1;0
Julieta Lanteri 1300;Puerto Madero, Capital Federal;USD 5.500;$ 990.000 Expensas;177;4;3;4;1
Av Juan de Garay 1900;San Cristobal, Capital Federal;$ 330.000;$ 40.000 Expensas;25;1;1;1;0
Cap. Gral. Ramón Freire 2400;Belgrano, Capital Federal;USD 600;$ 288.000 Expensas;46;2;1;2;0
Maure  al 3300;Colegiales, Capital Federal;$ 580.000;;36;2;1;1;0
Av. Libertador al 5300;Belgrano, Capital Federal;USD 2.300;$ 469.000 Expensas;185;4;3;3;1
Av. Quintana al 200;Recoleta, Capital Federal;USD 900;$ 551.226 Expensas;58;2;1;1;1
Arribenos al 1508;Belgrano, Capital Federal;USD 2.800;$ 1.300.000 Expensas;134;3;2;2;2
Holmberg al 2400;Villa Urquiza, Capital Federal;$ 700.000;$ 252.000 Expensas;52;2;1;1;0
AV Triunvirato  al 3785;Villa Ortuzar, Capital Federal;$ 400.000;$ 90.000 Expensas;30;1;0;1;0
Aguilar 2200;Belgrano, Capital Federal;USD 650;$ 147.000 Expensas;48;1;0;1;1
Santos Dumont 2300;Belgrano, Capital Federal;USD 600;$ 120.000 Expensas;54;2;0;0;0
Directorio 400. Entre Beauchef y Jose maria moreno;Caballito, Capital Federal;$ 430.000;$ 130.000 Expensas;37;1;1;1;0
Scalabrini Ortiz  al 1600;Palermo, Capital Federal;$ 2.500.000;$ 247.000 Expensas;100;4;3;2;0
Humberto 1º y  Perú;San Telmo, Capital Federal;$ 470.000;$ 80.000 Expensas;25;2;1;1;0
Libertador al 3700;Palermo, Capital Federal;USD 7.300;;400;6;5;4;2
Luis Maria Campos al 700;Las Cañitas, Palermo;$ 700.000;$ 135.000 Expensas;60;3;2;1;0
Garcia Lorca  al 200;Caballito, Capital Federal;$ 600.000;$ 113.000 Expensas;39;1;0;1;0
Azucena Villaflor.  al 500;Puerto Madero, Capital Federal;USD 7.300;;249;4;3;5;2
Franklin D. Roosevelt  4500  3°;Villa Urquiza, Capital Federal;$ 850.000;$ 80.000 Expensas;75;2;1;1;0
Alquiler Departamento  Quintana y Ayacucho Recoleta;Recoleta, Capital Federal;USD 1.800;$ 500.000 Expensas;160;5;3;2;1
Av Independencia 4000;Almagro, Capital Federal;$ 360.000;$ 140.000 Expensas;35;1;0;1;0
Avenida Las Heras  al 3100;Palermo Chico, Palermo;$ 1.000.000;$ 320.000 Expensas;75;3;2;1;0
Dorrego  al 2600;Las Cañitas, Palermo;USD 1.800;$ 330.000 Expensas;190;4;3;2;1
Tte. B. Matienzo 1700 Caba;Las Cañitas, Palermo;$ 670.000;$ 190.000 Expensas;65;3;2;1;0
Libertador  al 700;Recoleta, Capital Federal;$ 580.000;$ 103.700 Expensas;47;2;1;1;0
BULNES 1500. Entre Honduras y El salvador;Palermo, Capital Federal;$ 460.000;$ 70.000 Expensas;34;1;0;1;0
Av Cordoba al 1600;Recoleta, Capital Federal;$ 1.490.000;$ 509.000 Expensas;156;5;3;2;1
Lavalle  al 1100;Tribunales, Capital Federal;$ 570.000;;78;2;1;2;0
Florida e/ Tucumán y Viamonte;San Nicolás, Capital Federal;USD 400;$ 90.000 Expensas;35;1;0;1;0
Vidal e/ Mendoza y Avenida Olazabal;Belgrano, Capital Federal;$ 550.000;$ 110.000 Expensas;47;2;1;1;0
Las Heras al 1900;Recoleta, Capital Federal;USD 1.400;$ 350.000 Expensas;221;5;3;3;0
Ciudad de la Paz  al 3200;Belgrano, Capital Federal;$ 750.000;$ 292.000 Expensas;57;2;1;1;1
Tucumán 1500;San Nicolás, Capital Federal;$ 400.000;$ 116.000 Expensas;40;1;0;1;0
Agote al 2400;Recoleta, Capital Federal;USD 3.600;$ 650.000 Expensas;189;4;3;3;1
Costa Rica e/ Soler y Avenida Medrano;Palermo, Capital Federal;$ 600.000;$ 170.000 Expensas;35;1;0;1;0
Departamento en Alquiler;Recoleta, Capital Federal;USD 2.600;$ 915.000 Expensas;282;7;4;3;0
Vedia 1600;Núñez, Capital Federal;$ 1.000.000;$ 220.000 Expensas;77;4;3;2;0
AV. Cabildo al 2400;Belgrano, Capital Federal;$ 650.000;$ 200.000 Expensas;55;3;2;1;0
CORRIENTES, AVDA. 6365. Entre Leiva y Arenal, concepcion;Chacarita, Capital Federal;$ 480.000;$ 175.000 Expensas;41;1;0;1;1
Sinclair  al 3200  y Libertador;Palermo Nuevo, Palermo;USD 2.300;$ 534.000 Expensas;143;4;3;2;1
Don Bosco  al 3700;Almagro, Capital Federal;$ 550.000;$ 50.000 Expensas;40;2;1;1;0
Suipacha al 1300;Retiro, Capital Federal;USD 4.000;$ 2.321.000 Expensas;231;4;3;2;2
Lafuente 37  3A;Flores, Capital Federal;$ 450.000;$ 110.000 Expensas;41;1;0;1;0
ARENALES 3000. Entre Sanchez de bustamante y Austria;Recoleta, Capital Federal;$ 720.000;$ 110.000 Expensas;60;2;1;2;0
Distrito Quartier.;Retiro, Capital Federal;USD 600;$ 220.000 Expensas;51;2;1;1;0
Gascon al 600;Almagro, Capital Federal;$ 850.000;$ 250.000 Expensas;75;3;2;1;1
Teodoro Garcia 2431/33 6 B;Belgrano, Capital Federal;$ 550.000;$ 112.000 Expensas;34;1;1;1;0
Bustamante 2400;Recoleta, Capital Federal;$ 500.000;$ 100.000 Expensas;29;2;1;1;0
Araoz 2200. Entre Charcas y Mansilla;Palermo, Capital Federal;$ 650.000;$ 171.000 Expensas;53;3;2;0;0
Malabia y Nicaragua;Palermo Soho, Palermo;$ 600.000;$ 140.000 Expensas;35;1;0;1;0
Viamonte  al 1800;Barrio Norte, Capital Federal;$ 400.000;$ 200.000 Expensas;35;1;0;1;0
Juana Manso 1100;Puerto Madero, Capital Federal;USD 1.400;$ 559.000 Expensas;90;2;1;1;2
Paraguay al 1600;Barrio Norte, Capital Federal;$ 470.000;$ 130.000 Expensas;40;2;1;1;0
Av. San Juan  al 2000;San Cristobal, Capital Federal;$ 400.000;$ 60.000 Expensas;30;1;0;1;0
Esmeralda al 1200;Retiro, Capital Federal;USD 1.080;$ 600.000 Expensas;147;4;3;2;1
Libetador al 300;Retiro, Capital Federal;USD 4.000;;279;5;4;5;2
Av. del Libertador al 2500;Palermo Chico, Palermo;USD 5.000;$ 1.339.000 Expensas;417;8;5;4;1
11 de Setiembre  al 1700;Belgrano, Capital Federal;USD 4.000;$ 1.100.000 Expensas;300;4;3;2;2
Tunez  2500 1°;Belgrano, Capital Federal;$ 450.000;$ 120.000 Expensas;34;1;0;1;0
Ortega y Gasset 1900;Las Cañitas, Palermo;USD 1.600;$ 700.000 Expensas;75;3;2;2;1
Quintana  al 500;Recoleta, Capital Federal;USD 1.800;$ 305.000 Expensas;82;3;2;1;0
Montañeses 3100;Núñez, Capital Federal;USD 1.200;$ 250.000 Expensas;55;2;1;1;0
Humboldt  al 2300;Palermo Hollywood, Palermo;$ 650.000;$ 140.000 Expensas;42;1;0;1;1
Quartier Madero Urbano;Puerto Madero, Capital Federal;USD 650;$ 280.000 Expensas;47;1;0;1;1
Libertad e/ Paraguay y Marcelo Torcuato de Alvear;Barrio Norte, Capital Federal;USD 500;$ 130.000 Expensas;40;2;1;1;0
Virrey del Pino 2448  - Caba.;Belgrano, Capital Federal;$ 600.000;$ 110.000 Expensas;60;2;1;1;0
Av. Juan de Garay 739;San Telmo, Capital Federal;USD 700;$ 300.000 Expensas;44;2;1;1;0
Guemes  al 3000 Entre Sanchez de Bustamante y Billinghurts.;Recoleta, Capital Federal;$ 390.000;$ 55.000 Expensas;26;1;0;1;0
Dorrego e/ Amenábar y Soler;Palermo Hollywood, Palermo;$ 550.000;$ 116.000 Expensas;36;1;0;1;0
Sanchez de Bustamente al 1800;Recoleta, Capital Federal;$ 1.000.000;$ 300.000 Expensas;90;3;2;2;0
Palermo;Palermo, Capital Federal;USD 2.500;;57;2;1;1;0
Marcelo T. de Alvear al 1200;Recoleta, Capital Federal;USD 1.800;$ 110.000 Expensas;119;4;3;3;1
Acevedo 500;Villa Crespo, Capital Federal;$ 900.000;$ 152.669 Expensas;48;2;1;1;1
Paroissien al 1700;Núñez, Capital Federal;$ 385.000;$ 130.000 Expensas;38;1;0;1;0
Bulnes 2500;Palermo, Capital Federal;$ 500.000;$ 190.000 Expensas;37;1;0;1;0
Austria  al 2500;Recoleta, Capital Federal;USD 650;;36;1;1;1;0
Montañeses 1853;Belgrano, Capital Federal;$ 550.000;$ 235.000 Expensas;40;2;1;1;0
Migueletes e/ Teodoro García y Federico Lacroze;Palermo, Capital Federal;$ 477.000;$ 130.000 Expensas;47;2;1;1;0
Araoz al 2700;Palermo, Capital Federal;$ 800.000;$ 105.000 Expensas;65;3;2;1;0
Avalos 1900;Villa Urquiza, Capital Federal;$ 600.000;$ 130.000 Expensas;46;2;1;1;0
Lola Mora 400;Puerto Madero, Capital Federal;USD 1.150;$ 290.000 Expensas;47;1;0;1;0
Scalabrini Ortiz al 2886;Palermo, Capital Federal;USD 1.600;$ 329.300 Expensas;90;3;2;1;1
Republica de la India al 3000;Palermo Chico, Palermo;$ 850.000;$ 246.000 Expensas;80;3;2;1;0
Costa Rica al 5100;Palermo, Capital Federal;$ 700.000;$ 240.000 Expensas;47;2;1;1;1
Juana Manso 1551;Puerto Madero, Capital Federal;USD 1.700;;75;3;2;1;1
Montañeses al 3100;Núñez, Capital Federal;USD 2.000;$ 500.000 Expensas;100;3;2;2;1
Avenida Cabildo AL 3600;Núñez, Capital Federal;$ 700.000;$ 200.000 Expensas;56;2;1;1;0
Dorrego 2779;Belgrano, Capital Federal;USD 720;$ 150.000 Expensas;55;2;1;1;0
Parana al 1200;Recoleta, Capital Federal;USD 2.800;;145;3;2;1;0
Av. Alvear al 1500;Recoleta, Capital Federal;USD 2.500;$ 700.000 Expensas;192;5;2;2;1
Avenida DEL Libertador   8002;Núñez, Capital Federal;USD 5.800;$ 1.100.000 Expensas;360;6;5;4;3
Levene al 900;Recoleta, Capital Federal;USD 2.800;$ 1.360.000 Expensas;290;5;4;4;1
Araoz al 2900;Palermo, Capital Federal;USD 4.500;$ 850.000 Expensas;300;4;3;3;2
Riobamba 927;Recoleta, Capital Federal;$ 900.000;$ 180.000 Expensas;55;2;1;1;0
Avenida Santa Fe e/ Bonpland y Fitz Roy;Palermo, Capital Federal;$ 460.000;;38;2;1;1;0
Av Corrientes  al 4500;Almagro, Capital Federal;$ 440.000;$ 115.000 Expensas;33;1;0;1;1
Callao al 1400;Recoleta, Capital Federal;$ 3.600.000;$ 70.000 Expensas;116;3;2;2;0
Presidente Julio A. Roca al 700;Centro / Microcentro, Capital Federal;$ 450.000;$ 241.107 Expensas;46;1;0;1;0
Santa Fe e/ Vidit y Bulnes;Palermo, Capital Federal;USD 1.200;$ 50.000 Expensas;120;4;2;1;0
Juncal 3100, Entre Coronel Diaz y Bulnes;Palermo, Capital Federal;USD 4.200;$ 1.283.900 Expensas;245;4;3;4;2
Marcelo T. de Alvear al 1300;Recoleta, Capital Federal;USD 800;;70;2;1;1;1
Av. del Libertador al 300;Retiro, Capital Federal;USD 2.800;$ 968.000 Expensas;222;4;3;2;2
Salta al 500;Monserrat, Capital Federal;$ 450.000;;30;1;0;1;0
Alvear al 1900;Recoleta, Capital Federal;USD 4.200;$ 1.523.000 Expensas;264;6;3;2;1
Distrito Quartier.;Retiro, Capital Federal;USD 600;$ 200.000 Expensas;42;1;1;1;0
Guido al 1900;Recoleta, Capital Federal;USD 600;$ 235.000 Expensas;42;1;0;1;0
JERONIMO SALGUERO 1700;Palermo, Capital Federal;$ 850.000;$ 150.000 Expensas;75;3;2;1;1
San Benito de Palermo  al 1600;Palermo, Capital Federal;$ 450.000;$ 140.000 Expensas;29;1;1;1;0
Galván e/ Tomas A. Le Bretón y Nahuel Huapi;Villa Urquiza, Capital Federal;$ 1.100.000;$ 295.000 Expensas;80;3;2;2;1
Libertad al 1500;Recoleta, Capital Federal;USD 1.550;$ 435.000 Expensas;165;3;1;2;0
Valentin Virasoro 700. Entre Felipe vallese y Arengreen;Caballito, Capital Federal;$ 420.000;$ 140.000 Expensas;34;1;1;1;0
Olleros  1800 14°;Belgrano, Capital Federal;USD 4.000;$ 594.700 Expensas;148;4;3;2;2
Juan Francisco Segui  al 4600;Palermo Nuevo, Palermo;USD 3.500;$ 870.000 Expensas;340;5;4;5;2
Villaroel 1071 - Caba.;Villa Crespo, Capital Federal;$ 700.000;$ 170.000 Expensas;49;2;1;1;0
SAN Jose DE Calasanz  al 700;Caballito, Capital Federal;$ 340.000;$ 115.050 Expensas;39;1;0;1;0
Olga Cossettini al 1500;Puerto Madero, Capital Federal;USD 1.200;$ 500.000 Expensas;57;2;1;1;1
José Antonio Cabrera e/ Francisco Acuña de Figueroa y Avenida Medrano;Palermo, Capital Federal;USD 500;$ 210.000 Expensas;45;1;0;1;0
Paraguay al 2900;Barrio Norte, Capital Federal;USD 750;;36;1;0;1;1
Ayacucho y Sarmiento;Congreso, Capital Federal;USD 600;$ 200.000 Expensas;43;1;0;1;0
Av. Cramer al 2200;Belgrano, Capital Federal;USD 3.000;$ 900.000 Expensas;279;7;5;4;2
Moldes al 1100;Colegiales, Capital Federal;$ 650.000;$ 110.000 Expensas;50;2;1;1;0
LA Pampa al 1100;Belgrano, Capital Federal;$ 700.000;$ 180.000 Expensas;43;2;1;1;1
Artilleros Plaza - Artilleros al 1800;Belgrano, Capital Federal;USD 10.000;$ 120.000 Expensas;578;4;3;3;3
Encarnación Ezcurra al 300;Puerto Madero, Capital Federal;USD 800;$ 170.000 Expensas;41;1;1;1;0
Gascón al 1700;Palermo Soho, Palermo;USD 800;$ 162.000 Expensas;57;2;1;1;0
Torre Le Parc. Demaria al 4500;Palermo, Capital Federal;USD 15.000;;400;5;4;4;2
Humboldt 2000;Palermo, Capital Federal;USD 2.300;;81;3;2;2;1
Jerónimo Salguero al 2800;Palermo Chico, Palermo;USD 3.000;$ 988.000 Expensas;209;6;4;3;1
Quartier Madero Urbano;Puerto Madero, Capital Federal;USD 700;$ 130.000 Expensas;37;2;1;1;0
Esmeralda  600 3°;Centro / Microcentro, Capital Federal;$ 700.000;$ 220.000 Expensas;60;3;2;1;0
Arenales al 900;Retiro, Capital Federal;USD 600;$ 223.757 Expensas;55;3;1;1;0
Figueroa Alcorta al 3000;Palermo Chico, Palermo;USD 6.500;$ 2.424.000 Expensas;320;6;3;3;2
Pacheco de melo 2432;Recoleta, Capital Federal;$ 750.000;$ 206.790 Expensas;1;3;0;1;0
Av Cerviño  al 4600;Palermo Nuevo, Palermo;USD 2.200;$ 600.000 Expensas;90;3;2;2;1
Teniente Benjamín Matienzo y Arce;Las Cañitas, Palermo;$ 1.200.000;$ 200.000 Expensas;90;3;2;1;0
Tucumàn al 2900;Balvanera, Capital Federal;$ 400.000;$ 60.000 Expensas;21;2;1;1;0
Costa Rica  al 4100;Palermo, Capital Federal;USD 750;;35;1;0;1;0
Julian Alvarez al 400, A Estrenar!!apto Profesional;Villa Crespo, Capital Federal;USD 490;$ 35.000 Expensas;27;1;0;1;0
Juncal al 2200;Recoleta, Capital Federal;$ 400.000;$ 124.000 Expensas;41;2;1;1;0
Guatemala 5100;Palermo Soho, Palermo;USD 6.000;$ 700.000 Expensas;216;4;3;3;2
Paraguay al 4700;Palermo Soho, Palermo;USD 3.800;;95;3;2;2;1
Rocamora 4300;Palermo, Capital Federal;USD 1.500;$ 700.000 Expensas;88;4;3;2;1
Paraguay al 4500;Palermo, Capital Federal;$ 490.000;$ 178.569 Expensas;35;2;1;1;0
Cabello  al 3100;Palermo, Capital Federal;$ 550.000;$ 350.000 Expensas;37;1;0;1;0
Jorge Newbery  al 1800;Las Cañitas, Palermo;$ 550.000;$ 180.000 Expensas;34;1;0;1;0
Rodriguez Peña al 2000;Recoleta, Capital Federal;$ 1.100.000;$ 283.000 Expensas;100;3;2;1;1
Monroe 3100;Belgrano, Capital Federal;$ 500.000;$ 149.000 Expensas;39;1;0;1;0
Palermo;Palermo, Capital Federal;USD 1.500;;58;2;1;1;1
AZUCENA VILLAFLOR;Puerto Madero, Capital Federal;USD 2.700;;90;2;1;1;1
Humboldt al 2000;Palermo Hollywood, Palermo;USD 2.000;$ 550.000 Expensas;80;3;2;2;1
Av. Santa Fe 5100;Palermo, Capital Federal;$ 980.000;$ 230.000 Expensas;107;4;3;1;0
Av. PUEYRREDÓN 1800;Recoleta, Capital Federal;$ 800.000;$ 150.000 Expensas;56;3;2;1;0
Rodríguez Peña 1180, C1021 Cdad. Autónoma de Buenos Aires, Argentina, Recoleta, Capital Federal, Argentina.;Recoleta, Capital Federal;$ 550.000;$ 185.000 Expensas;47;2;1;1;0
Humboldt al 1700;Palermo Hollywood, Palermo;USD 400;$ 120.000 Expensas;31;1;0;1;0
Marcelo T de Alvear;Recoleta, Capital Federal;$ 500.000;$ 370.000 Expensas;84;3;2;1;0
Ramallo al 4600;Saavedra, Capital Federal;$ 550.000;$ 60.000 Expensas;42;1;0;1;1
Aime Paine 1100;Puerto Madero, Capital Federal;USD 2.800;$ 150.000 Expensas;55;1;1;1;1
Av. Dr Ricado Balbin y Av. Olazabal.;Belgrano R, Belgrano;$ 550.000;$ 190.000 Expensas;40;2;1;1;1
araoz 1000;Villa Crespo, Capital Federal;USD 450;$ 15.000 Expensas;31;1;0;1;0
Zuviria 825;Caballito, Capital Federal;$ 500.000;$ 259.000 Expensas;54;2;1;2;0
Cespedes 2294;Belgrano, Capital Federal;$ 539.000;$ 70.000 Expensas;35;1;0;1;0
Olleros  al 2300;Belgrano, Capital Federal;$ 1.100.000;$ 306.703 Expensas;87;3;2;1;1
Thames;Palermo, Capital Federal;$ 380.000;$ 60.000 Expensas;30;1;0;1;0
Guemes 4700;Palermo, Capital Federal;$ 430.000;$ 96.000 Expensas;42;2;1;1;0
Manzanares  al 1600;Núñez, Capital Federal;$ 620.000;$ 210.000 Expensas;50;2;1;1;0
Costa Rica 3930;Palermo Soho, Palermo;USD 1.300;;75;2;1;1;0
Avenida del Libertador 5400;Belgrano, Capital Federal;USD 3.500;;160;3;2;3;1
Joaquin V Gnzalez;Floresta Norte, Floresta;$ 390.000;$ 45.000 Expensas;45;2;1;1;0
Riobamba 10;Congreso, Capital Federal;USD 600;$ 70.000 Expensas;45;2;1;1;0
PEDERNERA 154. Entre Ramon falcon y Alberdi, juan b., av.;Flores, Capital Federal;$ 420.000;$ 110.000 Expensas;25;1;1;1;1
Quintana al 100;Recoleta, Capital Federal;USD 3.200;;257;5;3;2;1
Mansilla;Recoleta, Capital Federal;$ 650.000;$ 108.000 Expensas;40;2;1;1;1
Av. Castañares  4200 PB;Villa Lugano, Capital Federal;$ 650.000;$ 45.000 Expensas;59;3;2;1;0
Av. Pedro Goyena 564;Caballito, Capital Federal;$ 900.000;$ 169.340 Expensas;51;3;2;1;0
Republica Arabe Siria 3300;Palermo, Capital Federal;USD 2.200;$ 600.000 Expensas;155;4;3;0;1
Amenabar 80, Quartier Dorrego, Palermo Hollywood;Palermo Hollywood, Palermo;USD 1.250;;50;2;1;1;0
Av. Libertador  al 7900;Núñez, Capital Federal;USD 1.950;;80;1;0;0;0
Soler al 3400;Palermo, Capital Federal;$ 420.000;$ 80.000 Expensas;40;1;1;1;0
Blanco Encalada  5300 8°;Villa Urquiza, Capital Federal;$ 550.000;$ 178.135 Expensas;30;2;1;1;0
Juramento  5000 6°;Villa Urquiza, Capital Federal;$ 430.000;$ 104.000 Expensas;43;1;0;1;0
ARAOZ 2800;Palermo, Capital Federal;USD 1.800;$ 600.000 Expensas;125;4;3;3;2
Av Santa Fe  al 1400;Recoleta, Capital Federal;$ 1.500.000;$ 300.000 Expensas;140;4;3;2;0
Godoy Cruz & Avenida Cerviño;Palermo Nuevo, Palermo;$ 480.000;$ 180.000 Expensas;38;1;0;1;0
Teodoro Garcia 1860 4° D;Belgrano C, Belgrano;$ 450.000;$ 117.000 Expensas;34;1;1;1;0
El Salvador 4200;Palermo, Capital Federal;$ 870.000;$ 100.000 Expensas;75;2;1;0;0
Av. del Libertador 2424;Palermo Chico, Palermo;USD 4.500;$ 350.000 Expensas;145;3;2;2;1
Rosario Vera Peñaloza 300;Puerto Madero, Capital Federal;USD 6.500;;253;0;3;3;3
Juncal 3600, C1425 CABA, Argentina;Botánico, Palermo;$ 420.000;;25;0;1;1;0
Rodriguez Peña  2000 3°;Recoleta, Capital Federal;$ 350.000;$ 120.000 Expensas;32;1;0;0;0
Avenida Las Heras 3283;Palermo, Capital Federal;$ 450.000;$ 106.000 Expensas;38;2;1;1;0
Rodríguez Peña 431, C1020 San Nicolas, Cdad. Autónoma de Buenos Aires, Argentina, Tribunales, Capital Federal, Argentina.;Tribunales, Capital Federal;$ 390.000;$ 139.000 Expensas;33;2;1;1;0
PACHECO 2137;Villa Urquiza, Capital Federal;$ 950.000;$ 150.000 Expensas;74;3;2;1;0
Pedro Goyena  al 800;Caballito, Capital Federal;$ 1.200.000;$ 500.000 Expensas;80;3;2;2;1
Fernández 324;Floresta, Capital Federal;$ 400.000;$ 30.000 Expensas;35;1;0;1;0
Alicia Moreau de Justo 1800;Puerto Madero, Capital Federal;$ 600.000;$ 200.700 Expensas;35;1;1;1;0
Junin  al 174;Congreso, Capital Federal;$ 1.100.000;$ 80.000 Expensas;70;4;3;1;0
Guatemala  al 6000;Palermo Hollywood, Palermo;USD 1.200;$ 217.000 Expensas;60;3;2;1;0
Juramento 3000. Entre Zapiola y Conesa;Belgrano, Capital Federal;$ 1.180.000;$ 216.000 Expensas;83;4;3;2;1
Melincue 2537;Villa del Parque, Capital Federal;$ 700.000;;65;3;2;0;0
Ugarteche  2800;Botánico, Palermo;$ 2.000.000;$ 985.000 Expensas;160;4;3;2;0
Pueyrredon al 1600;Barrio Norte, Capital Federal;$ 400.000;$ 100.000 Expensas;35;1;1;1;0
Alberti al 900;San Cristobal, Capital Federal;$ 300.000;$ 148.500 Expensas;32;1;1;1;0
Alquiler 2 Ambientes CON Balcon. Contrafrente.  Gallo  al 1200 Piso 2;Barrio Norte, Capital Federal;$ 400.000;$ 100.000 Expensas;42;2;1;1;0
Juana Manso  al 100;Puerto Madero, Capital Federal;USD 2.500;;150;3;2;2;1
LIBERTAD 1661;Retiro, Capital Federal;USD 1.600;$ 480.000 Expensas;80;3;2;2;1
Cerrito 1100;Recoleta, Capital Federal;$ 1.000.000;$ 337.000 Expensas;127;3;2;2;0
Guido 2600;Recoleta, Capital Federal;USD 3.500;$ 1.000.000 Expensas;250;6;4;3;1
LAVALLE 2800. Entre Ecuador y Boulogne sur mer;Balvanera, Capital Federal;$ 300.000;$ 77.000 Expensas;25;1;0;1;0
Oruro al 1200;San Cristobal, Capital Federal;$ 400.000;$ 132.500 Expensas;45;2;1;1;0
Av Sant Fe 5209;Palermo, Capital Federal;$ 660.000;$ 95.000 Expensas;53;2;1;1;0
Armenia 2200;Botánico, Palermo;$ 730.000;$ 257.500 Expensas;68;3;2;2;0
Rodriguez Peña 2024;Recoleta, Capital Federal;USD 1.500;$ 220.000 Expensas;104;3;2;1;0
Jose Pedro Varela al 3000;Villa del Parque, Capital Federal;$ 650.000;$ 80.000 Expensas;42;2;1;2;1
Zapiola y Manuel Ugarte;Belgrano, Capital Federal;$ 1.200.000;$ 250.000 Expensas;80;4;3;2;1
Sanchez de Bustamante  al 2400;Barrio Norte, Capital Federal;$ 450.000;$ 80.000 Expensas;37;2;1;1;0
Juncal al 2800;Barrio Norte, Capital Federal;$ 450.000;$ 80.000 Expensas;35;2;1;1;0
arenales;Recoleta, Capital Federal;USD 2.220;;120;4;3;1;0
Av. Scalabrini  1400 2°;Palermo Soho, Palermo;$ 550.000;$ 102.000 Expensas;40;2;1;1;0
Montevideo al 1500;Barrio Norte, Capital Federal;$ 1.000.000;$ 380.000 Expensas;115;3;2;2;0
Av del Libertador 2200 y Coronel Diaz;Palermo, Capital Federal;USD 4.000;$ 1.500.000 Expensas;450;5;3;3;2
Olleros;Belgrano, Capital Federal;$ 1.050.000;$ 185.000 Expensas;53;2;1;0;0
Darregueyra al 2400;Palermo, Capital Federal;$ 750.000;$ 189.000 Expensas;55;3;2;1;0
Arévalo;Palermo, Capital Federal;$ 700.000;$ 200.000 Expensas;46;2;1;1;1
Caracas  al 1000;Flores, Capital Federal;$ 400.000;$ 74.000 Expensas;50;2;1;1;0
José A Cabrera  al 4100;Palermo Viejo, Palermo;$ 500.000;$ 140.000 Expensas;25;1;0;1;0
Espectacular 3  Ambientes en Alquiler - Quartier del Bajo, Puerto Madero;Puerto Madero, Capital Federal;USD 2.500;$ 300.000 Expensas;84;3;2;2;1
Av. San Isidro Labrador  al 4700;Núñez, Capital Federal;$ 700.000;$ 150.000 Expensas;63;3;2;1;0
ARAOZ 2300;Belgrano C, Belgrano;$ 500.000;$ 80.000 Expensas;34;1;0;1;0
Juana Manso 1500;Puerto Madero, Capital Federal;USD 1.600;$ 400.000 Expensas;99;3;2;2;1
Uriburu 1661 (entreuriburu 1600 (entre Las Heras y Pacheco de Melo) Las Heras y Pacheco de Melo);Recoleta, Capital Federal;$ 370.000;$ 50.000 Expensas;25;1;0;1;0
Amenabar  al 2900;Belgrano, Capital Federal;USD 550;$ 143.000 Expensas;45;1;1;1;0
Rodriguez Peña y Posadas;Recoleta, Capital Federal;USD 1.100;$ 270.000 Expensas;62;3;2;1;0
La Pampa 4413;Villa Urquiza, Capital Federal;$ 700.000;$ 102.000 Expensas;70;3;2;1;0
Montevideo  1700 9°;Recoleta, Capital Federal;$ 1.350.000;$ 356.000 Expensas;101;4;3;1;1
Avenida de Mayo 1161;Monserrat, Capital Federal;USD 450;;20;1;1;1;0
Guido 1900, Recoleta - Deco Armani;Recoleta, Capital Federal;USD 1.300;;42;1;1;1;0
Alquiler  2 Ambientes Torres DEL Yacht Puerto Madero;Puerto Madero, Capital Federal;USD 1.300;$ 350.000 Expensas;66;2;1;1;0
Olazabal 1650;Barrio Chino, Belgrano;$ 580.000;$ 70.000 Expensas;45;2;1;1;0
pumacahua 30 1º B;Flores Sur, Flores;$ 770.000;$ 230.000 Expensas;96;3;2;1;1
Teodoro Garcia  3500 4°;Colegiales, Capital Federal;$ 700.000;$ 220.000 Expensas;65;3;2;2;0
Warnes  200;Villa Crespo, Capital Federal;$ 450.000;;38;2;1;1;0
